Affix Map,,"[""affixes""] = {",
,,,
Blizzard,KeyLab,UI,UI Description
1,affix1,Overflowing,Healing in excess of a target's maximum health is instead converted to a heal absorption effect.
2,affix2,Skittish,Enemies pay far less attention to threat generated by tanks.
3,affix3,Volcanic,"While in combat, enemies periodically cause gouts of flame to erupt beneath the feet of distant players."
4,affix4,Necrotic,All enemies' melee attacks apply a stacking blight that inflicts damage over time and reduces healing received.
5,affix5,Teeming,Additional non-boss enemies are present throughout the dungeon.
6,affix6,Raging,"Non-boss enemies enrage at 30% health remaining, temporarily granting immunity to crowd control effects."
7,affix7,Bolstering,"When any non-boss enemy dies, its death cry empowers nearby allies, temporarily increasing their health by 10%."
8,affix8,Sanguine,"When slain, non-boss enemies leave behind a lingering pool of ichor that heals their allies and damages players."
9,affix9,Tyrannical,Bosses have 25% more health. Bosses and their minions inflict up to 15% increased damage.
10,affix10,Fortified,Non-boss enemies have 20% more health and inflict up to 20% increased damage.
11,affix11,Bursting,"When slain, non-boss enemies explode, causing all players to suffer damage over 4 sec. This effect stacks."
12,affix12,Grievous,Injured players suffer increasing damage over time until healed.
13,affix13,Explosive,"While in combat, enemies periodically summon Explosive Orbs that will detonate if not destroyed."
14,affix14,Quaking,"Periodically, all players emit a shockwave, inflicting damage and interrupting nearby allies."
16,affix16,Infested,Some non-boss enemies have been infested with a Spawn of G'huun.
117,affix117,Reaping,Non-boss enemies are empowered by Bwonsamdi and periodically seek vengeance from beyond the grave.
119,affix119,Beguiling,Azshara's Emissaries are present throughout the dungeon.
120,affix120,Awakened,"Obelisks throughout the dungeon allow players to enter Ny'alotha and confront powerful servants of N'Zoth. If a servant is not dealt with, they must be faced during the final boss encounter."
121,affix121,Prideful,"Players overflow with pride as they defeat non-boss enemies, eventually forming a Manifestation of Pride. Defeating this Manifestation greatly empowers players."
122,affix122,Inspiring,Some non-boss enemies have an inspiring presence that strengthens their allies.
123,affix123,Spiteful,Fiends rise from the corpses of non-boss enemies and pursue random players.
124,affix124,Storming,"While in combat, enemies periodically summon damaging whirlwinds."
128,affix128,Tormented,"Servants of the Jailer can be found throughout the dungeon and grant powerful boons when defeated. If a servant is not dealt with, they empower the final boss."
129,affix129,Infernal,Infernal Beacons can be found near some bosses. Activating a Beacon or engaging a nearby boss will trigger a Legion invasion.
130,affix130,Encrypted,"Enemies throughout the dungeon possess relics of the First Ones. Destroy the relics to summon the First Ones' Automa and gain powerful bonuses, based on the order in which they were destroyed."
131,affix131,Shrouded,Nathrezim infiltrators have disguised themselves among enemies throughout the dungeon. Cartel Ta will reward you handsomely for assisting in their capture.
132,affix132,Thundering,"Enemies have 5% more health. While in combat, players are periodically overcharged with primal power from Raszageth's unending storm. This power comes with great risk, and failure to discharge it quickly can have stunning consequences."
133,affix133,Focused,"Non-boss enemies with mana have 30% increased Haste, but take 10% increased Frost and Fire damage."
134,affix134,Entangling,"While in combat, entangling vines periodically appear and snare players."
135,affix135,Afflicted,"While in combat, afflicted souls periodically appear and seek the aid of players."
136,affix136,Incorporeal,"While in combat, incorporeal beings periodically appear and attempt to weaken players."
137,affix137,Shielding,"While in combat, enemies periodically summon Shielding Orbs that shield nearby enemies if not destroyed."
144,affix144,Thorned,"Non-boss enemies without mana inflict Physical damage to their attackers when attacked, but take 10% increased Holy and Shadow damage."
145,affix145,Reckless,"Non-boss enemies without mana ignore 20% armor with their attacks, but their armor is reduced by 30% and they take 10% increased Arcane damage."
146,affix146,Attuned,"Non-boss enemies with mana inflict 20% increased magic damage, but take 10% increased Nature damage and 30% increased damage from Bleed effects."
147,affix147,Xal'atath's Guile,"Xal'atath betrays players, revoking her bargains while making deaths subtract 15 seconds from time remaining."
148,affix148,Xal'atath's Bargain: Ascendant,"While in combat, Xal'atath rains down orbs of cosmic energy that empower enemies or players."
152,affix152,Challenger's Peril,"The timer is increased by 90 seconds, but dying subtracts 15 seconds from time remaining."
153,affix153,Xal'atath's Bargain: Frenzied,"Non-boss enemies become frenzied at 30% health remaining, increasing their Haste by 40%, but increasing their damage taken by 20%."
158,affix158,Xal'atath's Bargain: Voidbound,"While in combat, Xal'atath summons a Voidbound Emissary that empowers nearby enemies."
159,affix159,Xal'atath's Bargain: Oblivion,"While in combat, Xal'atath manifests crystals from the void that can be absorbed by enemies or players."
160,affix160,Xal'atath's Bargain: Devour,"While in combat, Xal'atath tears open rifts that devour the essence of players."
162,affix162,Xal'atath's Bargain: Pulsar,"While in combat, Xal'atath summons pulsars that orbit players."
165,affix165,Lindormi's Guidance,"Lindormi guides players, highlighting and weakening specific non-boss enemies. Defeating these enemies will complete the enemy forces requirement. In addition, player deaths no longer reduce time remaining."
166,affix166,Eternus's Trial: Sands of Time,"While in combat, Eternus manifests bronze orbs that can be caught."
167,affix167,Eternus's Trial: Dusk of the Infinite,"While in combat, Eternus calls forth hordes of the infinite dragonflight that ambush players."
168,affix168,Eternus's Trial: Timeways Manifested,"While in combat, Eternus summons an elemental that splits multiple times."
169,affix169,Eternus's Trial: Twilight Reflections,"While in combat, Eternus beckons alternate evil versions of you."
170,affix170,Tyrannically Fortified,Bosses have 25% more health. Bosses and their minions inflict up to 15% increased damage. Non-boss enemies have 20% more health and inflict up to 20% increased damage.
