Map ID,,"[""activeChallengeMapID""] = "
,,
,,
Blizzard,KeyLab,UI
402,map402,Algeth'ar Academy
503,map503,"Ara-Kara, City of Echoes"
244,map244,Atal'Dazar
164,map164,Auchindoun
199,map199,Black Rook Hold
163,map163,Bloodmaul Slag Mines
405,map405,Brackenhide Hollow
233,map233,Cathedral of Eternal Night
506,map506,Cinderbrew Meadery
502,map502,City of Threads
210,map210,Court of Stars
504,map504,Darkflame Cleft
198,map198,Darkheart Thicket
463,map463,Dawn of the Infinite: Galakrond's Fall
464,map464,Dawn of the Infinite: Murozond's Rise
377,map377,De Other Side
542,map542,Eco-Dome Al'dani
197,map197,Eye of Azshara
245,map245,Freehold
57,map57,Gate of the Setting Sun
507,map507,Grim Batol
166,map166,Grimrail Depot
378,map378,Halls of Atonement
406,map406,Halls of Infusion
200,map200,Halls of Valor
169,map169,Iron Docks
249,map249,Kings' Rest
558,map558,Magisters' Terrace
560,map560,Maisara Caverns
208,map208,Maw of Souls
375,map375,Mists of Tirna Scithe
60,map60,Mogu'shan Palace
206,map206,Neltharion's Lair
404,map404,Neltharus
559,map559,Nexus-Point Xenas
525,map525,Operation: Floodgate
369,map369,Operation: Mechagon - Junkyard
370,map370,Operation: Mechagon - Workshop
556,map556,Pit of Saron
379,map379,Plaguefall
499,map499,Priory of the Sacred Flame
227,map227,Return to Karazhan: Lower
234,map234,Return to Karazhan: Upper
399,map399,Ruby Life Pools
380,map380,Sanguine Depths
77,map77,Scarlet Halls
78,map78,Scarlet Monastery
76,map76,Scholomance
239,map239,Seat of the Triumvirate
583,map583,Seat of the Triumvirate
58,map58,Shado-Pan Monastery
165,map165,Shadowmoon Burial Grounds
252,map252,Shrine of the Storm
353,map353,Siege of Boralus
59,map59,Siege of Niuzao Temple
161,map161,Skyreach
381,map381,Spires of Ascension
56,map56,Stormstout Brewery
392,map392,Tazavesh: So'leah's Gambit
391,map391,Tazavesh: Streets of Wonder
250,map250,Temple of Sethraliss
2,map2,Temple of the Jade Serpent
209,map209,The Arcway
401,map401,The Azure Vault
505,map505,The Dawnbreaker
168,map168,The Everbloom
247,map247,The MOTHERLODE!!
376,map376,The Necrotic Wake
400,map400,The Nokhud Offensive
500,map500,The Rookery
541,map541,The Stonecore
501,map501,The Stonevault
251,map251,The Underrot
438,map438,The Vortex Pinnacle
382,map382,Theater of Pain
456,map456,Throne of the Tides
246,map246,Tol Dagor
403,map403,Uldaman: Legacy of Tyr
167,map167,Upper Blackrock Spire
207,map207,Vault of the Wardens
248,map248,Waycrest Manor
557,map557,Windrunner Spire
