Blizzard,SpecID,Blizzard,Class,Blizzard,Spec,,Role,,KeyLab
[specID],62,[className],Mage,[specName],Arcane,,Ranged,,
[specID],63,[className],Mage,[specName],Fire,,Ranged,,
[specID],64,[className],Mage,[specName],Frost,,Ranged,,
[specID],65,[className],Paladin,[specName],Holy,,Healer,,
[specID],66,[className],Paladin,[specName],Protection,,Tank,,
[specID],70,[className],Paladin,[specName],Retribution,,Melee,,
[specID],71,[className],Warrior,[specName],Arms,,Melee,,
[specID],72,[className],Warrior,[specName],Fury,,Melee,,
[specID],73,[className],Warrior,[specName],Protection,,Tank,,
[specID],102,[className],Druid,[specName],Balance,,Ranged,,
[specID],103,[className],Druid,[specName],Feral,,Melee,,
[specID],104,[className],Druid,[specName],Guardian,,Tank,,
[specID],105,[className],Druid,[specName],Restoration,,Healer,,
[specID],250,[className],Deathknight,[specName],Blood,,Tank,,
[specID],251,[className],Deathknight,[specName],Frost,,Melee,,
[specID],252,[className],Deathknight,[specName],Unholy,,Melee,,
[specID],253,[className],Hunter,[specName],Beast Mastery,,Ranged,,
[specID],254,[className],Hunter,[specName],Markmanship,,Ranged,,
[specID],255,[className],Hunter,[specName],Survival,,Melee,,
[specID],256,[className],Priest,[specName],Discipline,,Healer,,
[specID],257,[className],Priest,[specName],Holy,,Healer,,
[specID],258,[className],Priest,[specName],Shadow,,Ranged,,
[specID],259,[className],Rogue,[specName],Assassination,,Melee,,
[specID],260,[className],Rogue,[specName],Outlaw,,Melee,,
[specID],261,[className],Rogue,[specName],Sublety,,Melee,,
[specID],262,[className],Shaman,[specName],Elemental,,Ranged,,
[specID],263,[className],Shaman,[specName],Enhancement,,Melee,,
[specID],264,[className],Shaman,[specName],Restoration,,Healer,,
[specID],265,[className],Warlock,[specName],Affliction,,Ranged,,
[specID],266,[className],Warlock,[specName],Demonology,,Ranged,,
[specID],267,[className],Warlock,[specName],Destruction,,Ranged,,
[specID],268,[className],Monk,[specName],Brewmaster,,Tank,,
[specID],269,[className],Monk,[specName],Windwalker,,Melee,,
[specID],270,[className],Monk,[specName],Mistweaver,,Healer,,
[specID],577,[className],Demonhunter,[specName],Havoc,,Melee,,
[specID],581,[className],Demonhunter,[specName],Vengeance,,Melee,,
[specID],1467,[className],Evoker,[specName],Devastation,,Ranged,,
[specID],1468,[className],Evoker,[specName],Preservation,,Healer,,
[specID],1473,[className],Evoker,[specName],Augmentation,,Ranged,,
[specID],1480,[className],Demonhunter,[specName],Devourer,,Melee,,
